0;1249617
1;4081700
2;1940737
3;1424858
4;169476834
5;12136916
6;3458831
7;1324953
8;1287119
9;28556248
10;2025144
11;4047934
12;56025595
13;2476850
14;17242542
15;156161066402
16;1308151770934
17;328001287
18;6044853
19;6799700
20;5327298
21;6051316
22;6788675
23;127329035
24;12838142
25;4206437
26;811768
27;9211466
28;3632901
29;11096379
30;4208842
31;12007820
32;1318996
33;3623347
34;5640788
35;51471553
36;11978985
37;6403356
38;2850043
39;8524162
40;648697
41;69324049
42;3632458
43;4199887
44;2791964
45;2126015
46;2791941
47;2798714
48;11543952
49;2113129
50;2798657
51;4215787
52;4210529
53;2719019
54;7244081
55;3827317
56;3621845
57;2098938
58;26757787
59;25299635
60;25299663
61;15095319
62;817082365
63;6478494
