17;328001286
18;6044852
19;6799699
20;5327297
21;6051315
22;6788674
23;127329034
24;12838141
25;4206436
26;811767
27;9211465
28;3632900
29;11096378
30;4208841
31;12007819
32;1318995
33;3623346
34;5640787
35;51471552
36;11978984
37;6403355
38;2850042
39;8524161
40;648696
41;69324048
42;3632457
43;4199886
44;2791963
45;2126014
46;2791940
47;2798713
48;11543951
49;2113128
50;2798656
51;4215786
52;4210528
53;2719018
54;7244080
55;3827316
56;3621844
57;2098937
58;26757786
59;25299634
60;25299662
61;15095318
62;817082364
63;6478493
